,LCC,rmse,cor
0,Annual crops,1.0725833629107304,0.7678622943160682
1,Orchards,0.4597234785450599,0.9053015134174143
2,Vineyards,0.5773806395782912,0.9338203799231525
3,Vegetable crops,0.8851836206877669,0.37838772084125555
4,Riparian,0.29986935376341367,0.9129960034879039
5,Evergreen Forests,0.8783989070207591,0.7970535963094166
6,Grasslands,0.83581460160575,0.7442813895388893
7,Shrublands,0.561936251605813,0.6741067762845196
8,Mixed Forests,0.5577773456714704,0.9555634659514552
9,Wetlands,0.34618132563230847,0.9700363946501163
