,LCC,"('PT-JPL', 'geeSEBAL')","('PT-JPL', 'SSEBop')","('PT-JPL', 'eeMETRIC')","('PT-JPL', 'DisALEXI')","('geeSEBAL', 'SSEBop')","('geeSEBAL', 'eeMETRIC')","('geeSEBAL', 'DisALEXI')","('SSEBop', 'eeMETRIC')","('SSEBop', 'DisALEXI')","('eeMETRIC', 'DisALEXI')","('SSEBopv61', 'MOD16A2GF')"
0,Annual crops,1.2378245815015774,1.1999335779278353,1.177774050570637,1.1524409650687364,1.3719551372869772,1.3416626323671619,1.3213454044689006,1.3384062470736997,1.2983133076837927,1.2448131621893086,1.2808818144800267
1,Orchards,0.4245577650289566,0.3878770220603068,0.2971082108254911,0.4440386018433369,0.32920244271497107,0.2817085020140957,0.4007764174716545,0.3332603965205189,0.3974729478728375,0.3237675805760534,0.37560374054832113
2,Vineyards,0.7046421095127041,0.7095673791652045,0.6759964196142078,0.7894132096317893,0.6182840688377589,0.7813749503978946,0.7230601153332221,0.7395229116985991,0.6885321375084238,0.6910985419678666,0.8020619254836415
3,Vegetable crops,,,,,,,,,,,
4,Evergreen Forests,0.7521334342531154,0.6829686774643854,0.6397302202741298,0.7108711750546547,0.9662948416890605,0.9472671340309801,0.9776728203292361,1.0600629551433187,1.0924104536791315,1.0324173091866982,1.0246041272740793
5,Grasslands,0.6359969733717649,0.6672398005351118,0.7021017914587011,0.7190600203259099,0.5799978571480175,0.7190994184590302,0.7094337292210763,0.6723293104145993,0.6952185952434803,0.7373092499685115,0.8379328485348418
6,Mixed Forests,0.7910898847878637,0.8286874246784508,0.7443604108670995,0.743885515387817,0.7305316584956528,0.8274491065946368,0.740133166973215,0.8983886829385702,0.6783992797514158,0.4277044246798589,1.2902447873070733
7,Shrublands,0.49627293177424275,0.4340054268995711,0.4865502533949411,0.48607416316810054,0.4939799918888134,0.6030855696911693,0.5477243668580146,0.5365335151574627,0.4974480404556826,0.564116898832117,0.6168892510915137
8,Riparian,,,,,,,,,,,
9,Wetlands,,,,,,,,,,,0.41823172937484293
