,LCC,"('geeSEBAL', 'PT-JPL')","('geeSEBAL', 'SSEBop')","('geeSEBAL', 'eeMETRIC')","('geeSEBAL', 'DisALEXI')","('PT-JPL', 'SSEBop')","('PT-JPL', 'eeMETRIC')","('PT-JPL', 'DisALEXI')","('SSEBop', 'eeMETRIC')","('SSEBop', 'DisALEXI')","('eeMETRIC', 'DisALEXI')","('SSEBopv61', 'MOD16A2GF')"
0,Annual crops,1.2378245815015778,1.3719551372869767,1.3416626323671617,1.3213454044689001,1.1999335779278344,1.1777740505706364,1.1524409650687357,1.3384062470736993,1.2983133076837927,1.2448131621893084,1.280881814480026
1,Orchards,0.4245577650289561,0.3292024427149714,0.2817085020140977,0.40077641747165466,0.3878770220603068,0.297108210825493,0.4440386018433374,0.33326039652052125,0.3974729478728396,0.32376758057605376,0.3756037405483219
2,Vineyards,0.7046421095127041,0.6182840688377595,0.7813749503978943,0.7230601153332212,0.7095673791652038,0.6759964196142074,0.7894132096317881,0.7395229116985985,0.6885321375084222,0.6910985419678657,0.8020619254836419
3,Vegetable crops,,,,,,,,,,,
4,Evergreen Forests,0.7521334342531153,0.9662948416890603,0.9472671340309802,0.9776728203292356,0.6829686774643854,0.6397302202741312,0.7108711750546547,1.060062955143319,1.0924104536791315,1.0324173091866982,1.0246041272740807
5,Grasslands,0.6359969733717644,0.5799978571480158,0.7190994184590297,0.7094337292210747,0.6672398005351111,0.7021017914586999,0.719060020325909,0.6723293104145989,0.6952185952434797,0.7373092499685105,0.8379328485348414
6,Mixed Forests,0.7910898847878617,0.7305316584956553,0.8274491065946383,0.7401331669732141,0.8286874246784521,0.7443604108671021,0.7438855153878149,0.8983886829385694,0.6783992797514138,0.4277044246798595,1.290244787307073
7,Shrublands,0.49627293177424253,0.49397999188881303,0.6030855696911693,0.5477243668580143,0.43400542689957133,0.4865502533949412,0.4860741631681003,0.536533515157463,0.4974480404556824,0.564116898832117,0.6168892510915138
8,Riparian,,,,,,,,,,,
9,Wetlands,,,,,,,,,,,0.418231729374844
